date,asset_code,open,high,low,close,volume,turnover,GC001_avg,GC001_close
2017-08-24,511260.SH,100.126,100.126,92,99.487,27657872,12.9627,4.1133,3.985
2017-08-25,511260.SH,99.487,99.838,99.001,99.809,28791174,14.4455,4.285,4.495
2017-08-28,511260.SH,99.817,99.988,99.79,99.979,27231186,13.628,4.9711,5.15
2017-08-29,511260.SH,99.98,99.98,99.753,99.773,5299552,2.654,6.3959,6.525
2017-08-30,511260.SH,99.783,99.9,99.735,99.877,4099607,2.0535,6.8726,6.275
2017-08-31,511260.SH,98.853,100,98.853,99.998,11143288,11.153,5.5983,5.48
2017-09-01,511260.SH,99.815,99.99,99.815,99.866,2665704,2.668,4.0958,4.125
2017-09-04,511260.SH,99.867,99.988,99.867,99.878,1849267,1.851,3.8361,3.79
2017-09-05,511260.SH,99.277,99.889,99.277,99.87,465406,0.466,3.6318,3.58
2017-09-06,511260.SH,99.849,100,99.83,99.871,8255089,8.262,3.5296,3.49
2017-09-07,511260.SH,99.71,99.999,99.71,99.822,4258319,4.261,3.4752,3.38
2017-09-08,511260.SH,99.751,99.99,99.751,99.961,3658059,3.659,3.7042,3.73
2017-09-11,511260.SH,99.97,100.01,99.816,99.998,8620788,8.621,4.1555,4.215
2017-09-12,511260.SH,99.951,100.03,99.951,99.962,2366807,2.367,4.2926,4.13
2017-09-13,511260.SH,99.935,100.038,99.935,99.995,1989393,1.989,4.1308,4.02
2017-09-14,511260.SH,99.408,100.069,99.408,100.009,3473908,3.473,3.894,3.695
2017-09-15,511260.SH,99.73,100.198,99.73,100.195,1711662,1.709,3.8931,3.71
2017-09-18,511260.SH,100.041,100.298,100.041,100.276,6819123,6.8024,4.0885,3.98
2017-09-19,511260.SH,100.03,100.276,100.03,100.121,2125625,2.12,4.4665,4.53
2017-09-20,511260.SH,100.124,100.32,100.124,100.225,7190835,22.6572,4.7961,4.915
2017-09-21,511260.SH,100.119,100.35,100.119,100.28,5169979,23.8125,4.8736,4.865
2017-09-22,511260.SH,100.103,100.51,100.103,100.454,14244148,65.6397,4.9343,4.92
2017-09-25,511260.SH,100.126,100.6,100.126,100.546,11124494,70.8307,5.2943,5.37
2017-09-26,511260.SH,100.2,100.501,100.2,100.34,23728960,151.016,6.4213,6.53
2017-09-27,511260.SH,100.207,100.413,100.206,100.315,10129438,64.524,7.4089,6.915
2017-09-28,511260.SH,100.318,100.445,100.318,100.428,9367143,59.5911,7.7345,8.555
2017-09-29,511260.SH,100.2,100.2,99.921,100.01,3551955,22.6901,12.9719,16.63
2017-10-09,511260.SH,100.2,100.2,100.111,100.136,10217320,65.1565,7.8296,8.745
2017-10-10,511260.SH,100.133,100.2,100.133,100.2,5989936,38.1981,6.0764,5.56
2017-10-11,511260.SH,100.167,100.172,98.001,99.994,3574362,22.8179,3.6445,3.4
2017-10-12,511260.SH,99.997,100.12,99.007,99.99,7568549,48.3642,3.0916,2.925
2017-10-13,511260.SH,99.99,100.168,99.664,99.914,9318381,59.5911,2.9446,2.88
2017-10-16,511260.SH,99.911,99.911,99.502,99.901,18469954,118.1534,3.1819,2.94
2017-10-17,511260.SH,99.898,99.898,99.564,99.601,10620990,68,2.9054,2.625
2017-10-18,511260.SH,99.604,99.998,99.6,99.65,3715475,23.8147,2.6974,2.535
2017-10-19,511260.SH,99.653,99.836,99.6,99.836,11526268,73.8722,2.4998,2.365
2017-10-20,511260.SH,99.833,99.833,99.522,99.741,8315980,53.2971,2.6651,2.74
2017-10-23,511260.SH,99.629,99.856,99.629,99.7,12037832,77.1502,2.9146,2.635
2017-10-24,511260.SH,99.55,99.68,99.55,99.668,10420286,66.8051,2.9756,2.865
2017-10-25,511260.SH,99.551,99.7,99.5,99.66,3889053,24.9393,3.1193,3.175
2017-10-26,511260.SH,99.5,99.608,99.408,99.608,12973871,83.2332,3.626,3.715
2017-10-27,511260.SH,99.308,99.7,99.308,99.6,13427947,86.147,4.8792,5.135
2017-10-30,511260.SH,99.597,99.6,98.64,99.4,1896972,12.23,6.8443,6.795
2017-10-31,511260.SH,99.4,99.65,99.1,99.386,10109128,64.9904,7.7312,6.745
2017-11-01,511260.SH,99.389,99.4,99.156,99.4,10643246,68.4217,4.0418,4.08
2017-11-02,511260.SH,99.203,99.3,99.203,99.3,11748173,75.5974,3.2074,3.065
2017-11-03,511260.SH,99.2,99.298,99.2,99.2,6588887,42.4409,2.9882,2.955
2017-11-06,511260.SH,99.2,99.215,99.2,99.214,9538433,61.4313,2.9308,2.905
2017-11-07,511260.SH,99.214,99.215,99.214,99.215,20698233,133.3035,2.9059,2.865
2017-11-08,511260.SH,99.1,99.215,99.001,99.2,5142513,33.1246,2.9256,2.93
2017-11-09,511260.SH,99.01,99.1,98.5,99.098,10670536,68.8115,3.1638,3.085
2017-11-10,511260.SH,99.095,99.095,98.58,98.676,11578262,74.9712,3.6554,3.825
2017-11-13,511260.SH,98.9,98.9,98.504,98.7,15003519,97.131,4.1775,4.055
2017-11-14,511260.SH,98.7,98.98,98.502,98.98,8536698,55.2716,4.1513,3.835
2017-11-15,511260.SH,98.977,98.977,97.922,98.288,1357856,8.8371,3.8918,3.79
2017-11-16,511260.SH,98.288,98.398,98,98,37323704,70.9823,3.4254,3.275
2017-11-17,511260.SH,98.01,98.19,98.01,98.183,4902732,9.3122,3.6138,3.685
2017-11-20,511260.SH,98.998,98.998,98.2,98.213,13416189,25.4613,3.8652,3.86
2017-11-21,511260.SH,98.213,98.359,98.213,98.231,13557515,25.7074,3.9552,3.885
2017-11-22,511260.SH,98.234,99.5,98.039,98.048,5356633,9.7826,4.8066,4.91
2017-11-23,511260.SH,98.051,98.999,97.964,98.88,2675005,4.8014,4.6405,4.485
2017-11-24,511260.SH,98.88,99.997,98.059,98.2,5324440,8.7461,4.2327,4.08
2017-11-27,511260.SH,98.197,98.871,98.15,98.697,12942344,21.3025,4.1341,3.985
2017-11-28,511260.SH,98.697,98.697,98.1,98.1,9855942,16.2628,3.8722,3.685
